item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names
m2220497348,Pentax 110 opwinder,Opwinder voor pentax 110 camera. Zo goed als nieuw. Bieden vanaf €20.00,https://images.marktplaats.com/api/v1/listing-mp-p/images/a7/a7af62c6-9493-4cb1-a596-f816da2ee638?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220497348,52.074252302088,4.3548794526572,0.0,Ophalen,Vandaag,Ophalen,Marc
m2220490674,20 analoge fotocamera’s met o.a. Pentax en Minolta,"Collectie analoge fotocamera's (zoldervondst). Van mijn grootouders geweest, lange tijd op de zolder bewaard. Werking van de c",https://images.marktplaats.com/api/v1/listing-mp-p/images/25/255f86b3-0fd9-43ee-afc2-0b4fca356bbb?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220490674,52.365511876671,4.8879166058756,100.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,tomatosoup
m2220353812,Pentax 105-R,In mooie en werkende staat. Exclusief oplaadkabeltje maar in beschermhoes.,https://images.marktplaats.com/api/v1/listing-mp-p/images/67/67b50312-d861-4578-a62c-8bf69fba3486?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220353812,52.433348872589,4.8290686517207,15.0,Ophalen,Vandaag,Ophalen,Andre
m2220405052,Pentax PC35AF in doos,Pentax pc35af in doos met boekjes. Batterijklepje gaat wat lastig maar werkt wel. Zie ook mijn andere fotografie advertenties,https://images.marktplaats.com/api/v1/listing-mp-p/images/6d/6d5188ad-9282-4f73-b778-aaeb32efa56c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220405052,52.485773596993,4.6482809782774,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Thomas
m2220280412,Pentax analoge camera P30,Pentax analoge camera p30,https://images.marktplaats.com/api/v1/listing-mp-p/images/21/21990968-73ab-4d5e-8d69-dfddbdff6cd2?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220280412,52.553756269075,4.6624135159794,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,jane
m2220374650,Pentax P30 spiegel reflex camera incl 28-80 zoom lens,Pentax p30 spiegel reflex camera zoom lens 28-80 schouderband alle andere items die op de foto staan,https://images.marktplaats.com/api/v1/listing-mp-p/images/fd/fd84d23d-09ff-4f8c-945e-b21f843c329e?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220374650,51.677166175072,5.0428842346086,130.0,Ophalen,Vandaag,Ophalen,Noorlander
m2220506155,Pentax P30 + Takumar A zoom 28-80mm f/3.5-4.5,"Vintage pentax p30 35 mm film camera + takumar a zoom 28-80mm f/3.5-4.5 Total condition; pre-owned, vintage appearance; good condi",https://images.marktplaats.com/api/v1/listing-mp-p/images/f6/f6b098b9-1212-440f-b9e4-89463727c983?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220506155,52.365511876671,4.8879166058756,30.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,tomatosoup
m2220386184,Pentax analoge spiegelreflex camera met diverse lenzen,Lange tijd niet meer gebruikt en daarom te koop t.e.a.b. Camera inclusief diverse lenzen en draagtas.,https://images.marktplaats.com/api/v1/listing-mp-p/images/b6/b64d28c0-cdcd-403c-870e-1f267a490319?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220386184,51.950187638636,4.5933125561908,0.0,Ophalen,Vandaag,Ophalen,andré
m2220472188,Pentax Zoom 105 super analoge camera met veel functies,Leuke goed gebruikte pentax zoom 105 super analoge point and shoot fotocamera voor standaard 35mm filmrolletjes. Camera heeft erg ,https://images.marktplaats.com/api/v1/listing-mp-p/images/92/92033d2c-c47a-4a12-bcc0-3ca5c8e59c82?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220472188,51.828942084705,5.3039988710488,27.5,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,MLC
m2220450781,Asahi Pentax Spotmatic F met SMC TAKUMAR 1:1.8/55,Dit is een van de laatste roemruchte camera's uit het tijdperk dat asahi optical camera's met schroefdraadvatting maakte. ,https://images.marktplaats.com/api/v1/listing-mp-p/images/2a/2a7add73-f5da-4480-8335-4024f2db13f1?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220450781,52.128955921328,5.0325539804807,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,Gerjan
m2219709732,Pentax ESPIO 160 38-160mm zoom camera met flits - nieuwstaat,Pentax espio 160 pentax espio 160 analoge zoom camera met automatische flitser. Zoomlens 38mm - 160mm. Autofocus. In zeer goede st,https://images.marktplaats.com/api/v1/listing-mp-p/images/7e/7e789a0f-7f73-4182-b541-b2828b289d16?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2219709732,50.842121565072,5.7080549378755,75.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,AV Media
m2220582606,Pentax Spotmatic SPII (zwart) + Takumar SMC 55mm F/1.8,"Pentax spotmatic spii (zwart), made in japan. - Zeldzaam mooie spotmatic spii in zwarte uitvoering! - De camera heeft recent een o",https://images.marktplaats.com/api/v1/listing-mp-p/images/9f/9fb8f053-353f-4335-8eb8-f8fd5e7aeec7?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2220582606,52.994025036629,6.5566984863003,269.0,Verzenden,Vandaag,Verzenden,Chris
m2219066184,PENTAX Z-10 + Pentax 35-80mm & Sigma DL 70-300mm zoomlens,"Een leuke en compacte, 35mm film, fotocamera set. In prima staat. Met deze lenzen een zeer ruim bereik van 35mm groothoek tot en m",https://images.marktplaats.com/api/v1/listing-mp-p/images/52/5298cb71-ef26-4648-9351-0a8c86a91ff8?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2219066184,52.522516548429,5.4907859470131,0.0,Ophalen of Verzenden,Vandaag,Ophalen of Verzenden,EdC
